principal_id,year,ordinal
231,2022,7
281,2022,7
250,2022,18
279,2022,15
220,2023,10
502,2023,10
290,2022,10
288,2023,10
78,2022,18
229,2022,18
284,2023,10
251,2022,18
272,2022,17
504,2023,10
125,2022,19
252,2023,22
189,2023,9
234,2023,24
282,2022,14
294,2022,8
168,2022,25
234,2022,20
172,2022,19
167,2022,19
285,2022,14
264,2022,17
224,2022,18
150,2022,16
256,2022,15
483,2022,6
291,2022,8
242,2022,16
125,2023,19
43,2022,15
283,2022,13
220,2022,18
287,2022,13
492,2022,7
498,2022,4
2,2022,3
269,2022,16
278,2022,15
223,2022,19
496,2022,7
500,2022,5
5,2022,20
190,2022,7
260,2022,19
274,2022,14
77,2022,24
292,2022,8
279,2023,6
498,2023,10
521,2023,17
190,2023,10
5,2023,6
496,2023,10
547,2023,12
172,2024,4
545,2023,11
260,2023,19
231,2023,10
538,2023,21
290,2023,14
121,2023,1
272,2023,16
292,2023,2
519,2023,19
77,2023,21
540,2023,15
238,2023,17
536,2023,19
483,2023,4
658,2023,1
264,2023,10
534,2023,10
650,2024,21
566,2023,8
124,2023,10
568,2023,11
229,2023,9
251,2023,9
584,2024,18
500,2023,12
553,2023,11
291,2023,7
250,2023,12
648,2024,20
576,2023,5
2,2023,7
656,2023,1
599,2023,3
619,2023,4
578,2024,18
558,2023,1
234,2024,23
167,2024,17
273,2024,10
667,2024,19
530,2023,4
654,2023,3
611,2023,5
551,2023,15
274,2023,5
275,2023,23
563,2023,14
650,2023,2
156,2023,10
648,2023,2
586,2023,8
528,2023,4
532,2023,12
526,2023,15
269,2023,5
642,2023,3
623,2023,5
282,2023,10
492,2023,10
597,2023,3
588,2023,7
640,2023,3
665,2023,2
580,2023,12
667,2023,2
549,2023,4
673,2023,1
678,2023,1
584,2023,7
578,2023,12
613,2023,5
595,2023,9
660,2023,2
592,2023,10
638,2023,4
635,2023,3
555,2023,1
625,2023,5
278,2023,10
242,2023,5
283,2023,11
44,2023,6
148,2023,6
542,2023,9
256,2023,10
224,2023,10
150,2023,6
247,2023,5
285,2023,25
629,2023,4
601,2023,5
538,2024,22
590,2023,7
670,2023,2
164,2023,18
621,2023,5
294,2023,18
179,2023,22
574,2023,10
638,2024,22
680,2023,1
676,2023,1
572,2023,12
523,2023,10
168,2024,19
540,2024,9
625,2024,15
582,2023,15
287,2023,22
611,2024,19
670,2024,3
635,2024,15
179,2024,9
164,2024,21
563,2024,5
536,2024,1
584,2022,1
611,2022,1
532,2022,1
586,2022,1
638,2022,1
625,2022,1
667,2022,1
572,2022,1
673,2022,1
613,2022,1
678,2022,1
691,2022,1
621,2022,1
676,2022,1
540,2022,1
582,2022,1
693,2022,1
578,2022,1
665,2022,1
601,2022,1
563,2022,1
683,2022,1
629,2022,1
650,2022,1
551,2022,1
519,2022,1
623,2022,1
595,2022,1
635,2022,1
648,2022,1
654,2022,1
670,2022,1
538,2022,1
640,2022,1
680,2022,1
521,2022,1
642,2022,1
609,2024,1
695,2024,1
725,2024,15
294,2024,2
519,2024,2
758,2024,8
231,2024,2
621,2024,2
532,2024,11
778,2024,2
723,2024,3
717,2024,15
710,2024,1
683,2024,21
640,2024,4
721,2024,17
676,2024,5
673,2024,5
613,2024,18
678,2024,21
680,2024,22
789,2024,2
753,2024,10
697,2024,9
706,2024,7
558,2024,2
693,2024,15
745,2024,8
703,2024,11
727,2024,16
656,2024,1
715,2024,18
238,2024,6
791,2024,1
601,2024,24
787,2024,3
794,2024,3
801,2024,2
43,2024,25
586,2024,23
287,2024,22
551,2024,22
719,2024,18
708,2024,20
582,2024,23
654,2024,22
642,2024,22
699,2024,21
275,2024,22
285,2024,22
785,2024,4
252,2024,23
629,2024,22
521,2024,22
761,2024,12
763,2024,12
747,2024,14
691,2024,23
731,2024,17
767,2024,12
572,2024,22
689,2024,23
755,2024,13
77,2024,22
665,2024,22
595,2024,22
623,2024,22
750,2024,13
712,2024,19
742,2024,16
769,2024,12
830,2025,1
806,2024,1
882,2025,2
545,2024,18
796,2024,4
804,2024,2
660,2024,6
735,2024,20
545,2025,1
658,2025,1
763,2025,8
665,2025,9
654,2025,8
886,2025,2
852,2025,2
238,2025,8
521,2025,6
826,2025,6
842,2025,1
285,2025,4
660,2025,11
601,2025,9
787,2025,10
742,2025,6
894,2025,5
735,2025,4
689,2025,9
836,2025,2
582,2025,9
850,2025,1
761,2025,7
848,2025,1
629,2025,2
810,2025,7
814,2025,2
234,2025,3
534,2025,4
656,2025,1
789,2025,4
769,2025,8
875,2025,2
785,2025,5
794,2025,8
806,2025,3
727,2025,5
252,2025,5
832,2025,2
43,2025,8
731,2025,8
873,2025,2
838,2025,6
819,2025,6
275,2025,8
880,2025,2
844,2025,5
898,2025,1
551,2025,10
888,2025,1
747,2025,8
860,2025,5
867,2025,2
863,2025,2
840,2025,6
878,2025,5
804,2025,9
699,2025,12
858,2025,6
801,2025,5
796,2025,11
871,2025,3
715,2025,5
755,2025,5
824,2025,6
77,2025,6
865,2025,3
892,2025,1
719,2025,8
708,2025,10
846,2025,5
287,2025,8
856,2025,6
884,2025,1
890,2025,1
642,2025,8
822,2025,6
586,2025,8
854,2025,6
595,2025,9
